experiment_id,scenario_id,n,beta_name,err_dist,contamination,contam_scale,heterosked,tau,loss,k_param,c_param,n_reps,mean_bias,mean_mse,mean_mae,mean_time,conv_rate,mean_iter,mcse_bias,mcse_mse,mcse_mae,mcse_conv,mcse_time,mcse_iter,bias_precision,conv_precision,overall_precision
9680,57,1000,sparse,normal,0.2,10,none,0.9,qhuber,10,NA,1000,-0.0418800457784724,0.045110363296476476,0.16777429657004325,0.011343891620635987,1,14.297,0.0011016279527723677,5.540954398967535e-4,0.0012240955385773372,0,1.1785067554881934e-4,0.04027919330638852,Excellent,Excellent,Adequate
9679,57,1000,sparse,normal,0.2,10,none,0.9,qhuber,3,NA,1000,0.0279656507082465,0.07019599180036523,0.20421106432855368,0.016383990049362182,1,21.563,0.0016049796041907212,0.0020510601084186195,0.002820242274502536,0,1.3854878157186604e-4,0.06711583669697888,Excellent,Excellent,Adequate
9678,57,1000,sparse,normal,0.2,10,none,0.9,qhuber,2,NA,1000,0.04824723328904618,0.08977174334652736,0.23014434934425856,0.011796532392501832,1,16.125,0.0017833058709762855,0.00261410185176321,0.0030411080057583272,0,1.0667212748328171e-4,0.05045711962568732,Excellent,Excellent,Adequate
2928,58,200,intermediate,normal,0.2,10,none,0.1,qhuber,10,NA,1000,0.016095652927130104,0.22893740296951498,0.36684965507846645,0.0023373112678527833,1,19.003,0.003221586694643581,0.006747500315107766,0.004919594011631034,0,3.0702164822523467e-5,0.055462303117226094,Excellent,Excellent,Adequate
2927,58,200,intermediate,normal,0.2,10,none,0.1,qhuber,3,NA,1000,-0.11308703697928645,0.5522513797026277,0.5392070819525061,0.0027710702419281004,1,23.19,0.005201622913163269,0.02046081635972366,0.009490481429383534,0,3.499180651102932e-5,0.08594932976636459,Good,Excellent,Adequate
2926,58,200,intermediate,normal,0.2,10,none,0.1,qhuber,2,NA,1000,-0.1268831554110622,0.6233351937068525,0.5690186740177248,0.003120887756347656,1,25.738,0.005073845332616192,0.022770216688798042,0.009809462162684355,0,4.42688566190913e-5,0.11642555952586575,Good,Excellent,Adequate
2933,58,200,intermediate,normal,0.2,10,none,0.25,qhuber,1,NA,1000,0.0019546298483115333,0.02778621031982082,0.13169858069109816,0.0026997768878936766,1,21.423,0.0010262741241789796,5.493635123663367e-4,0.0013053825231600792,0,3.747015698159792e-5,0.06280139341618954,Excellent,Excellent,Adequate
2934,58,200,intermediate,normal,0.2,10,none,0.25,qhuber,2,NA,1000,0.020280068332984236,0.029235647151610585,0.13576595691406826,0.00253702712059021,1,20.204,0.00105180047600685,5.098755217352734e-4,0.001250286833569545,0,2.9702015751368215e-5,0.05412313103760086,Excellent,Excellent,Adequate
2932,58,200,intermediate,normal,0.2,10,none,0.25,qhuber,0.5,NA,1000,-0.010244419350463425,0.02953605062976196,0.13579254084707576,0.0030483083724975584,1,23.704,0.0010850445014241959,6.106558956973592e-4,0.0014538916960162207,0,5.2053306656956174e-5,0.07649991004070682,Excellent,Excellent,Adequate
2942,58,200,intermediate,normal,0.2,10,none,0.5,qhuber,2,NA,1000,2.0204700082954245e-4,0.01526768374499946,0.09820074129832773,0.0023377904891967775,1,17.669,7.494524788141366e-4,2.7869137370423565e-4,9.224629353487006e-4,0,3.049105053537634e-5,0.04668638579520392,Excellent,Excellent,Adequate
11583,58,200,intermediate,normal,0.2,10,none,0.5,logcosh,NA,2,1000,-5.445128596489281e-4,0.015793858224387728,0.09951904438327994,0.00369509744644165,1,18.194,7.833034147524235e-4,3.313038098920415e-4,0.0010181008631838782,0,1.1199887615553321e-4,0.0462872175282389,Excellent,Excellent,Adequate
2941,58,200,intermediate,normal,0.2,10,none,0.5,qhuber,1,NA,1000,-3.596427972650372e-4,0.016113743679428704,0.10060229065332127,0.002372385501861572,1,18.857,8.660238441600269e-4,3.1339821400736174e-4,9.942346886644728e-4,0,2.7077700283034213e-5,0.048876783240511444,Excellent,Excellent,Adequate
2949,58,200,intermediate,normal,0.2,10,none,0.75,qhuber,1,NA,1000,-0.0010000120378846357,0.027194152405712466,0.1296240174538109,0.002475661039352417,1,20.339,0.001034618369276449,5.798923866477869e-4,0.0013685206138221897,0,3.3213552794685497e-5,0.06084226146997481,Excellent,Excellent,Adequate
2948,58,200,intermediate,normal,0.2,10,none,0.75,qhuber,0.5,NA,1000,0.009943259166818128,0.0290225496675648,0.13474220118444943,0.0027355477809906004,1,22.7,0.0010641608948734112,6.124344905337664e-4,0.0014393041616485305,0,3.598760846898548e-5,0.07616955954842985,Excellent,Excellent,Adequate
2950,58,200,intermediate,normal,0.2,10,none,0.75,qhuber,2,NA,1000,-0.022202364592013378,0.029570039271648176,0.13655161227341361,0.0024403276443481447,1,18.641,0.0010276676350016768,5.370103047702222e-4,0.0012224299922850017,0,3.400847958803389e-5,0.05633198285425689,Excellent,Excellent,Adequate
2960,58,200,intermediate,normal,0.2,10,none,0.9,qhuber,10,NA,1000,-0.01882628928392644,0.22722049361393823,0.36467048607493796,0.0021255125999450684,1,16.302,0.0032016617930498144,0.007066127172319988,0.004977497060687034,0,2.9995795950961923e-5,0.04524204728836708,Excellent,Excellent,Adequate
2959,58,200,intermediate,normal,0.2,10,none,0.9,qhuber,3,NA,1000,0.10284535915768979,0.531861747784423,0.5314789435719424,0.002925192832946777,1,23.032,0.004879713433721274,0.02048036461487335,0.00926431008538063,0,5.01811736783174e-5,0.095499194216999,Excellent,Excellent,Adequate
2958,58,200,intermediate,normal,0.2,10,none,0.9,qhuber,2,NA,1000,0.130425676096397,0.6742441075785613,0.5944365330800864,0.0032449102401733397,1,27.328,0.005234366563126613,0.02336119553517482,0.010066110682152197,0,4.065071252605306e-5,0.11790809267526262,Good,Excellent,Adequate
5808,59,500,intermediate,normal,0.2,10,none,0.1,qhuber,10,NA,1000,0.03442457407532004,0.0793779236048499,0.2224322651103264,0.003825711488723755,1,17.943,0.0018078515681658556,0.0014538128457589937,0.0020289241361648477,0,4.1209710060330166e-5,0.046367023852096664,Excellent,Excellent,Adequate
5807,59,500,intermediate,normal,0.2,10,none,0.1,qhuber,3,NA,1000,-0.055259623870542035,0.17330806538448507,0.31520237331392503,0.004317888259887695,1,20.703,0.0027705323606495055,0.005718950907670999,0.004918574421875718,0,4.57070588479958e-5,0.07197201519320527,Excellent,Excellent,Adequate
5806,59,500,intermediate,normal,0.2,10,none,0.1,qhuber,2,NA,1000,-0.07678905805996827,0.20665113734890295,0.3406067570180847,0.004836286067962646,1,22.297,0.002860897028703428,0.006514249132688713,0.005047396109069994,0,1.0344326325733713e-4,0.0752492754347406,Excellent,Excellent,Adequate
5813,59,500,intermediate,normal,0.2,10,none,0.25,qhuber,1,NA,1000,0.0041026770875002925,0.00976080406237508,0.07893727456535897,0.004397192001342773,1,19.926,6.166618688572072e-4,1.669523300548896e-4,7.154889459241743e-4,0,1.0817850182239429e-4,0.05148956375009576,Excellent,Excellent,Adequate
5812,59,500,intermediate,normal,0.2,10,none,0.25,qhuber,0.5,NA,1000,-0.009332000722889467,0.011203016037228087,0.0842475646527362,0.004907842874526978,1,20.7,6.658764798406522e-4,2.1603500621299106e-4,8.492643889806263e-4,0,5.178853866515294e-5,0.05959489534810471,Excellent,Excellent,Adequate
